ID	altura	diametro	inclinación	especie	origen	brotes
25058	13	47	0	Casuarina	Exótico	3
25084	19	32	0	Álamo	Exótico	2
25096	20	44	0	Casuarina	Exótico	5
25464	23	37	0	Álamo	Exótico	1
25473	5	23	35	Ceibo	Nativo/Autóctono	5
25595	10	5	0	Álamo	Exótico	2
25640	24	60	0	Palo borracho	Nativo/Autóctono	4
25829	4	8	0	Acacia	Exótico	3
25880	7	30	0	Ceibo	Nativo/Autóctono	4
25954	12	15	0	Álamo	Exótico	3
26243	20	40	0	Eucalipto	Exótico	3
26498	18	30	0	Álamo	Exótico	3
26506	18	30	0	Álamo	Exótico	2
26719	18	10	0	Álamo	Exótico	1
26721	8	10	0	Álamo	Exótico	2
26728	5	6	0	Álamo	Exótico	4
26771	12	30	0	Álamo	Exótico	3
26992	25	55	13	Eucalipto	Exótico	2
27031	23	48	0	Eucalipto	Exótico	4
27055	32	135	8	Eucalipto	Exótico	4
27116	35	100	12	Eucalipto	Exótico	2
27146	20	45	18	Eucalipto	Exótico	1
27184	15	40	10	Eucalipto	Exótico	1
27273	25	105	0	Eucalipto	Exótico	4
27303	19	26	0	Álamo	Exótico	4
27321	18	44	0	Eucalipto	Exótico	2
27578	13	50	21	Jacarandá	Nativo/Autóctono	6
27586	11	65	10	Palo borracho	Nativo/Autóctono	4
27850	12	50	0	Acacia	Nativo/Autóctono	4
27945	10	32	14	Fresno	Exótico	2
27948	5	30	0	Ceibo	Nativo/Autóctono	4
27961	20	40	0	Palo borracho	Nativo/Autóctono	4
28070	8	74	0	Palo borracho	Nativo/Autóctono	5
28172	12	70	0	Acacia	Exótico	3
28241	14	30	0	Álamo	Exótico	3
28374	18	18	0	Fresno	Exótico	2
28565	16	24	0	Jacarandá	Nativo/Autóctono	6
28711	18	47	0	Jacarandá	Nativo/Autóctono	4
28998	14	80	0	Casuarina	Exótico	2
29014	15	18	32	Ceibo	Nativo/Autóctono	4
29199	7	28	0	Fresno	Exótico	2
29216	13	27	6	Acacia	Exótico	3
29235	15	23	0	Casuarina	Exótico	3
29260	20	31	0	Casuarina	Exótico	4
29291	4	8	7	Jacarandá	Nativo/Autóctono	4
29323	17	36	0	Palo borracho	Nativo/Autóctono	6
29418	16	68	0	Álamo	Exótico	4
29956	18	90	0	Álamo	Exótico	2
30465	15	77	0	Eucalipto	Exótico	1
30516	8	27	0	Fresno	Exótico	3
30943	12	40	0	Palo borracho	Nativo/Autóctono	5
31122	13	25	2	Jacarandá	Nativo/Autóctono	6
31166	21	71	0	Jacarandá	Nativo/Autóctono	5
31564	2	5	0	Ceibo	Nativo/Autóctono	5
31734	12	42	6	Jacarandá	Nativo/Autóctono	5
32029	17	48	0	Casuarina	Exótico	3
32046	18	50	10	Jacarandá	Nativo/Autóctono	5
32279	35	54	0	Álamo	Exótico	3
32574	10	50	0	Casuarina	Exótico	3
32598	13	46	0	Ficus	Exótico	3
32632	12	22	0	Fresno	Exótico	2
32840	15	50	0	Casuarina	Exótico	3
32950	20	52	10	Jacarandá	Nativo/Autóctono	7
33178	18	35	4	Ficus	Exótico	2
33266	13	26	3	Álamo	Exótico	3
33276	9	30	10	Fresno	Exótico	4
33761	6	21	0	Fresno	Exótico	3
33883	15	30	0	Jacarandá	Nativo/Autóctono	8
34241	10	60	0	Casuarina	Exótico	4
34510	5	30	12	Ceibo	Nativo/Autóctono	5
34700	23	70	0	Casuarina	Exótico	3
34732	9	24	0	Acacia	Exótico	3
35034	10	30	10	Jacarandá	Nativo/Autóctono	7
35622	30	95	6	Eucalipto	Exótico	3
35808	13	40	0	Álamo	Exótico	4
35815	9	16	0	Álamo	Exótico	3
36100	25	35	0	Álamo	Exótico	3
36295	7	16	15	Fresno	Exótico	4
36374	20	50	0	Eucalipto	Exótico	4
36502	16	28	22	Eucalipto	Exótico	4
36640	19	57	0	Casuarina	Exótico	2
36857	11	33	10	Fresno	Exótico	3
36891	18	48	3	Álamo	Exótico	3
36969	15	4	0	Álamo	Exótico	3
37083	21	16	0	Álamo	Exótico	3
37475	17	34	20	Jacarandá	Nativo/Autóctono	6
37688	14	22	0	Álamo	Exótico	3
37689	11	14	0	Álamo	Exótico	3
37766	8	28	0	Casuarina	Exótico	4
37852	12	19	0	Casuarina	Exótico	3
37865	9	21	0	Casuarina	Exótico	4
37943	19	13	0	Casuarina	Exótico	1
37954	10	30	0	Casuarina	Exótico	5
38027	22	63	0	Casuarina	Exótico	4
38178	9	32	6	Acacia	Nativo/Autóctono	4
38221	8	24	6	Fresno	Exótico	2
38238	19	98	0	Eucalipto	Exótico	3
38372	12	83	7	Acacia	Exótico	3
38462	5	16	12	Acacia	Exótico	2
38533	19	24	0	Álamo	Exótico	2
38571	25	38	0	Jacarandá	Nativo/Autóctono	6
38582	25	38	0	Jacarandá	Nativo/Autóctono	3
39004	7	30	0	Eucalipto	Exótico	4
39254	25	65	0	Eucalipto	Exótico	3
39289	22	50	0	Eucalipto	Exótico	1
39443	21	35	0	Eucalipto	Exótico	2
39601	21	32	0	Eucalipto	Exótico	3
39606	21	32	0	Eucalipto	Exótico	4
39695	21	32	0	Eucalipto	Exótico	4
39762	21	32	0	Eucalipto	Exótico	4
39792	21	32	0	Eucalipto	Exótico	1
39884	21	32	0	Eucalipto	Exótico	2
40308	16	35	0	Álamo	Exótico	3
40431	17	40	10	Eucalipto	Exótico	3
40526	19	78	0	Eucalipto	Exótico	3
40828	16	45	10	Eucalipto	Exótico	4
40988	20	45	10	Casuarina	Exótico	2
41156	12	38	9	Jacarandá	Nativo/Autóctono	4
41288	18	130	0	Palo borracho	Nativo/Autóctono	5
41367	13	53	0	Palo borracho	Nativo/Autóctono	4
41428	4	80	5	Palo borracho	Nativo/Autóctono	5
41495	14	56	0	Fresno	Exótico	4
41592	1	7	0	Ficus	Exótico	2
41644	5	33	0	Ceibo	Nativo/Autóctono	4
41764	10	24	0	Fresno	Exótico	3
41766	7	30	25	Jacarandá	Nativo/Autóctono	5
42135	13	27	15	Jacarandá	Nativo/Autóctono	3
42285	11	36	0	Palo borracho	Nativo/Autóctono	6
42701	18	62	0	Casuarina	Exótico	4
42791	8	20	0	Ceibo	Nativo/Autóctono	5
43013	12	49	0	Fresno	Exótico	2
43333	8	15	0	Fresno	Exótico	4
43568	10	80	0	Palo borracho	Nativo/Autóctono	5
43603	3	4	0	Acacia	Exótico	3
43662	5	45	3	Eucalipto	Exótico	4
44038	11	38	0	Casuarina	Exótico	3
44346	10	10	0	Álamo	Exótico	3
44465	17	26	0	Álamo	Exótico	2
44772	15	30	28	Ceibo	Nativo/Autóctono	4
44851	6	13	3	Jacarandá	Nativo/Autóctono	4
44920	17	35	0	Álamo	Exótico	2
45052	10	22	0	Palo borracho	Nativo/Autóctono	8
45293	19	34	0	Palo borracho	Nativo/Autóctono	4
45420	16	85	2	Palo borracho	Nativo/Autóctono	4
45585	8	40	10	Palo borracho	Nativo/Autóctono	5
45649	6	15	0	Palo borracho	Nativo/Autóctono	3
45705	10	20	0	Fresno	Exótico	4
45850	11	6	6	Palo borracho	Nativo/Autóctono	2
45909	14	52	20	Jacarandá	Nativo/Autóctono	6
46081	7	20	7	Jacarandá	Nativo/Autóctono	7
46171	10	15	0	Ficus	Exótico	3
46286	10	18	5	Acacia	Exótico	4
46405	16	60	0	Palo borracho	Nativo/Autóctono	6
46496	17	40	17	Jacarandá	Nativo/Autóctono	6
46910	16	92	0	Palo borracho	Nativo/Autóctono	6
46944	8	18	15	Jacarandá	Nativo/Autóctono	5
47223	18	30	0	Casuarina	Exótico	2
47352	6	15	0	Fresno	Exótico	4
47627	16	65	0	Casuarina	Exótico	4
48201	9	22	0	Acacia	Exótico	2
48274	8	17	0	Fresno	Exótico	2
48297	13	65	0	Palo borracho	Nativo/Autóctono	4
48372	16	46	15	Jacarandá	Nativo/Autóctono	5
48569	10	60	0	Palo borracho	Nativo/Autóctono	4
48586	16	65	0	Álamo	Exótico	3
48593	12	65	0	Palo borracho	Nativo/Autóctono	6
48658	17	20	10	Jacarandá	Nativo/Autóctono	6
48787	6	70	40	Eucalipto	Exótico	4
48876	13	50	6	Palo borracho	Nativo/Autóctono	6
48949	15	32	0	Álamo	Exótico	3
48995	20	30	0	Eucalipto	Exótico	3
49022	7	33	0	Álamo	Exótico	3
49076	15	24	0	Álamo	Exótico	2
49267	5	20	0	Jacarandá	Nativo/Autóctono	4
49480	16	22	0	Ceibo	Nativo/Autóctono	4
49695	18	64	3	Palo borracho	Nativo/Autóctono	6
49945	19	72	0	Casuarina	Exótico	2
50864	9	17	0	Casuarina	Exótico	4
50887	12	20	0	Casuarina	Exótico	5
51202	2	25	0	Ceibo	Nativo/Autóctono	4
51220	12	14	0	Álamo	Exótico	3
51235	20	42	0	Álamo	Exótico	3
51257	22	61	25	Casuarina	Exótico	4
51332	7	97	4	Jacarandá	Nativo/Autóctono	5
51658	6	19	8	Acacia	Exótico	3
